Sample;Treatment;Organ Material;Genera;Abundance
Org-1;Organic;Bark;Brachybacterium;1
Org-1;Organic;Bark;Fredinandcohnia;1
Org-1;Organic;Bark;Metabacillus;1
Org-1;Organic;Bark;Niallia;0
Org-1;Organic;Bark;Peribacillus;2
Org-1;Organic;Bark;Pseudomonas;2
Org-1;Organic;Bark;Staphylococcus;1
Org-1;Organic;Bark;Stenotrophomonas;3
Org-1;Organic;Bark;Tsukamurella;1
Org-2;Organic;Bark;Brachybacterium;0
Org-2;Organic;Bark;Fredinandcohnia;2
Org-2;Organic;Bark;Metabacillus;1
Org-2;Organic;Bark;Niallia;1
Org-2;Organic;Bark;Peribacillus;2
Org-2;Organic;Bark;Pseudomonas;4
Org-2;Organic;Bark;Staphylococcus;1
Org-2;Organic;Bark;Stenotrophomonas;2
Org-2;Organic;Bark;Tsukamurella;0
Org-3;Organic;Bark;Brachybacterium;1
Org-3;Organic;Bark;Fredinandcohnia;1
Org-3;Organic;Bark;Metabacillus;1
Org-3;Organic;Bark;Niallia;1
Org-3;Organic;Bark;Peribacillus;3
Org-3;Organic;Bark;Pseudomonas;3
Org-3;Organic;Bark;Staphylococcus;1
Org-3;Organic;Bark;Stenotrophomonas;3
Org-3;Organic;Bark;Tsukamurella;0
Org-1;Organic;Grape;Bacillus;2
Org-1;Organic;Grape;Brachybacterium;1
Org-1;Organic;Grape;Corynebacterium;2
Org-1;Organic;Grape;Curtobacterium;1
Org-1;Organic;Grape;Kytococcus;1
Org-1;Organic;Grape;Mesobacillus;0
Org-1;Organic;Grape;Microbacterium;1
Org-1;Organic;Grape;Micrococcus;0
Org-1;Organic;Grape;Paenibacillus;1
Org-1;Organic;Grape;Peribacillus;1
Org-1;Organic;Grape;Pseudarthrobacter;1
Org-1;Organic;Grape;Staphylococcus;1
Org-1;Organic;Grape;Stenotrophomonas;0
Org-1;Organic;Grape;Streptomyces;2
Org-2;Organic;Grape;Bacillus;3
Org-2;Organic;Grape;Brachybacterium;2
Org-2;Organic;Grape;Corynebacterium;2
Org-2;Organic;Grape;Curtobacterium;0
Org-2;Organic;Grape;Kytococcus;1
Org-2;Organic;Grape;Mesobacillus;1
Org-2;Organic;Grape;Microbacterium;0
Org-2;Organic;Grape;Micrococcus;0
Org-2;Organic;Grape;Paenibacillus;1
Org-2;Organic;Grape;Peribacillus;2
Org-2;Organic;Grape;Pseudarthrobacter;0
Org-2;Organic;Grape;Staphylococcus;1
Org-2;Organic;Grape;Stenotrophomonas;1
Org-2;Organic;Grape;Streptomyces;3
Org-3;Organic;Grape;Bacillus;2
Org-3;Organic;Grape;Brachybacterium;2
Org-3;Organic;Grape;Corynebacterium;3
Org-3;Organic;Grape;Curtobacterium;0
Org-3;Organic;Grape;Kytococcus;1
Org-3;Organic;Grape;Mesobacillus;0
Org-3;Organic;Grape;Microbacterium;0
Org-3;Organic;Grape;Micrococcus;1
Org-3;Organic;Grape;Paenibacillus;0
Org-3;Organic;Grape;Peribacillus;2
Org-3;Organic;Grape;Pseudarthrobacter;0
Org-3;Organic;Grape;Staphylococcus;1
Org-3;Organic;Grape;Stenotrophomonas;0
Org-3;Organic;Grape;Streptomyces;2
Org-1;Organic;Leaf;Aeromonas;0
Org-1;Organic;Leaf;Arthrobacter;2
Org-1;Organic;Leaf;Bacillus;7
Org-1;Organic;Leaf;Cytobacillus;1
Org-1;Organic;Leaf;Kytococcus;1
Org-1;Organic;Leaf;Mesobacillus;0
Org-1;Organic;Leaf;Microbacterium;0
Org-1;Organic;Leaf;Micrococcus;0
Org-1;Organic;Leaf;Moraxella;0
Org-1;Organic;Leaf;Novosphingobium;1
Org-1;Organic;Leaf;Paracoccus;0
Org-1;Organic;Leaf;Peribacillus;0
Org-1;Organic;Leaf;Priestia;0
Org-1;Organic;Leaf;Pseudomonas;2
Org-1;Organic;Leaf;Staphylococcus;3
Org-1;Organic;Leaf;Stenotrophomonas;4
Org-2;Organic;Leaf;Aeromonas;0
Org-2;Organic;Leaf;Arthrobacter;2
Org-2;Organic;Leaf;Bacillus;8
Org-2;Organic;Leaf;Cytobacillus;3
Org-2;Organic;Leaf;Kytococcus;0
Org-2;Organic;Leaf;Mesobacillus;1
Org-2;Organic;Leaf;Microbacterium;0
Org-2;Organic;Leaf;Micrococcus;1
Org-2;Organic;Leaf;Moraxella;1
Org-2;Organic;Leaf;Novosphingobium;0
Org-2;Organic;Leaf;Paracoccus;1
Org-2;Organic;Leaf;Peribacillus;1
Org-2;Organic;Leaf;Priestia;1
Org-2;Organic;Leaf;Pseudomonas;2
Org-2;Organic;Leaf;Staphylococcus;1
Org-2;Organic;Leaf;Stenotrophomonas;3
Org-3;Organic;Leaf;Aeromonas;1
Org-3;Organic;Leaf;Arthrobacter;2
Org-3;Organic;Leaf;Bacillus;9
Org-3;Organic;Leaf;Cytobacillus;2
Org-3;Organic;Leaf;Kytococcus;1
Org-3;Organic;Leaf;Mesobacillus;0
Org-3;Organic;Leaf;Microbacterium;1
Org-3;Organic;Leaf;Micrococcus;0
Org-3;Organic;Leaf;Moraxella;0
Org-3;Organic;Leaf;Novosphingobium;0
Org-3;Organic;Leaf;Paracoccus;0
Org-3;Organic;Leaf;Peribacillus;1
Org-3;Organic;Leaf;Priestia;0
Org-3;Organic;Leaf;Pseudomonas;3
Org-3;Organic;Leaf;Staphylococcus;2
Org-3;Organic;Leaf;Stenotrophomonas;4
Org-1;Organic;Soil;Arthrobacter;1
Org-1;Organic;Soil;Bacillus;7
Org-1;Organic;Soil;Citricoccus;1
Org-1;Organic;Soil;Domibacillus;0
Org-1;Organic;Soil;Lelliottia;0
Org-1;Organic;Soil;Massilia;0
Org-1;Organic;Soil;Metabacillus;1
Org-1;Organic;Soil;Micrococcus;1
Org-1;Organic;Soil;Niallia;0
Org-1;Organic;Soil;Paenarthrobacter;2
Org-1;Organic;Soil;Paenibacillus;1
Org-1;Organic;Soil;Pantoea;1
Org-1;Organic;Soil;Peribacillus;3
Org-1;Organic;Soil;Priestia;6
Org-1;Organic;Soil;Rhodococcus;1
Org-1;Organic;Soil;Sinorhizobium;0
Org-1;Organic;Soil;Staphylococcus;0
Org-1;Organic;Soil;Stenotrophomonas;2
Org-1;Organic;Soil;Streptomyces;7
Org-2;Organic;Soil;Arthrobacter;1
Org-2;Organic;Soil;Bacillus;6
Org-2;Organic;Soil;Citricoccus;0
Org-2;Organic;Soil;Domibacillus;0
Org-2;Organic;Soil;Lelliottia;1
Org-2;Organic;Soil;Massilia;0
Org-2;Organic;Soil;Metabacillus;2
Org-2;Organic;Soil;Micrococcus;1
Org-2;Organic;Soil;Niallia;1
Org-2;Organic;Soil;Paenarthrobacter;1
Org-2;Organic;Soil;Paenibacillus;2
Org-2;Organic;Soil;Pantoea;0
Org-2;Organic;Soil;Peribacillus;3
Org-2;Organic;Soil;Priestia;7
Org-2;Organic;Soil;Rhodococcus;0
Org-2;Organic;Soil;Sinorhizobium;0
Org-2;Organic;Soil;Staphylococcus;1
Org-2;Organic;Soil;Stenotrophomonas;4
Org-2;Organic;Soil;Streptomyces;9
Org-3;Organic;Soil;Arthrobacter;0
Org-3;Organic;Soil;Bacillus;5
Org-3;Organic;Soil;Citricoccus;1
Org-3;Organic;Soil;Domibacillus;1
Org-3;Organic;Soil;Lelliottia;0
Org-3;Organic;Soil;Massilia;1
Org-3;Organic;Soil;Metabacillus;1
Org-3;Organic;Soil;Micrococcus;0
Org-3;Organic;Soil;Niallia;1
Org-3;Organic;Soil;Paenarthrobacter;1
Org-3;Organic;Soil;Paenibacillus;1
Org-3;Organic;Soil;Pantoea;1
Org-3;Organic;Soil;Peribacillus;3
Org-3;Organic;Soil;Priestia;8
Org-3;Organic;Soil;Rhodococcus;0
Org-3;Organic;Soil;Sinorhizobium;1
Org-3;Organic;Soil;Staphylococcus;0
Org-3;Organic;Soil;Stenotrophomonas;3
Org-3;Organic;Soil;Streptomyces;6
Conv-1;Conventional;Bark;Bacillus;2
Conv-1;Conventional;Bark;Curtobacterium;1
Conv-1;Conventional;Bark;Cytobacillus;1
Conv-1;Conventional;Bark;Kocuria;1
Conv-1;Conventional;Bark;Lysinibacillus;0
Conv-1;Conventional;Bark;Microbacterium;1
Conv-1;Conventional;Bark;Ornithinibacillus;1
Conv-1;Conventional;Bark;Peribacillus;1
Conv-1;Conventional;Bark;Planomicrobium;1
Conv-1;Conventional;Bark;Priestia;1
Conv-1;Conventional;Bark;Pseudomonas;2
Conv-1;Conventional;Bark;Rathayibacter;1
Conv-1;Conventional;Bark;Rossellomorea ;0
Conv-1;Conventional;Bark;Staphylococcus;1
Conv-1;Conventional;Bark;Stenotrophomonas;2
Conv-1;Conventional;Bark;Streptococcus;0
Conv-1;Conventional;Bark;Streptomyces;1
Conv-1;Conventional;Bark;Terribacillus ;1
Conv-1;Conventional;Bark;Ureibacillus;0
Conv-2;Conventional;Bark;Bacillus;3
Conv-2;Conventional;Bark;Curtobacterium;1
Conv-2;Conventional;Bark;Cytobacillus;1
Conv-2;Conventional;Bark;Kocuria;1
Conv-2;Conventional;Bark;Lysinibacillus;1
Conv-2;Conventional;Bark;Microbacterium;1
Conv-2;Conventional;Bark;Ornithinibacillus;1
Conv-2;Conventional;Bark;Peribacillus;2
Conv-2;Conventional;Bark;Planomicrobium;0
Conv-2;Conventional;Bark;Priestia;1
Conv-2;Conventional;Bark;Pseudomonas;4
Conv-2;Conventional;Bark;Rathayibacter;3
Conv-2;Conventional;Bark;Rossellomorea ;1
Conv-2;Conventional;Bark;Staphylococcus;1
Conv-2;Conventional;Bark;Stenotrophomonas;4
Conv-2;Conventional;Bark;Streptococcus;1
Conv-2;Conventional;Bark;Streptomyces;1
Conv-2;Conventional;Bark;Terribacillus ;0
Conv-2;Conventional;Bark;Ureibacillus;0
Conv-3;Conventional;Bark;Bacillus;5
Conv-3;Conventional;Bark;Curtobacterium;1
Conv-3;Conventional;Bark;Cytobacillus;1
Conv-3;Conventional;Bark;Kocuria;1
Conv-3;Conventional;Bark;Lysinibacillus;0
Conv-3;Conventional;Bark;Microbacterium;1
Conv-3;Conventional;Bark;Ornithinibacillus;1
Conv-3;Conventional;Bark;Peribacillus;2
Conv-3;Conventional;Bark;Planomicrobium;1
Conv-3;Conventional;Bark;Priestia;1
Conv-3;Conventional;Bark;Pseudomonas;2
Conv-3;Conventional;Bark;Rathayibacter;4
Conv-3;Conventional;Bark;Rossellomorea ;1
Conv-3;Conventional;Bark;Staphylococcus;1
Conv-3;Conventional;Bark;Stenotrophomonas;1
Conv-3;Conventional;Bark;Streptococcus;1
Conv-3;Conventional;Bark;Streptomyces;1
Conv-3;Conventional;Bark;Terribacillus ;1
Conv-3;Conventional;Bark;Ureibacillus;1
Conv-1;Conventional;Grape;Acetobacter;0
Conv-1;Conventional;Grape;Aureimonas;0
Conv-1;Conventional;Grape;Bacillus;1
Conv-1;Conventional;Grape;Kocuria;0
Conv-1;Conventional;Grape;Lysinibacillus;1
Conv-1;Conventional;Grape;Mesobacillus;0
Conv-1;Conventional;Grape;Pantoea;1
Conv-1;Conventional;Grape;Peribacillus;0
Conv-1;Conventional;Grape;Saccharopolyspora;1
Conv-1;Conventional;Grape;Solibacillus;0
Conv-2;Conventional;Grape;Acetobacter;1
Conv-2;Conventional;Grape;Aureimonas;1
Conv-2;Conventional;Grape;Bacillus;1
Conv-2;Conventional;Grape;Kocuria;1
Conv-2;Conventional;Grape;Lysinibacillus;0
Conv-2;Conventional;Grape;Mesobacillus;0
Conv-2;Conventional;Grape;Pantoea;1
Conv-2;Conventional;Grape;Peribacillus;1
Conv-2;Conventional;Grape;Saccharopolyspora;0
Conv-2;Conventional;Grape;Solibacillus;1
Conv-3;Conventional;Grape;Acetobacter;0
Conv-3;Conventional;Grape;Aureimonas;1
Conv-3;Conventional;Grape;Bacillus;1
Conv-3;Conventional;Grape;Kocuria;0
Conv-3;Conventional;Grape;Lysinibacillus;0
Conv-3;Conventional;Grape;Mesobacillus;1
Conv-3;Conventional;Grape;Pantoea;1
Conv-3;Conventional;Grape;Peribacillus;0
Conv-3;Conventional;Grape;Saccharopolyspora;0
Conv-3;Conventional;Grape;Solibacillus;0
Conv-1;Conventional;Leaf;Aeromonas;0
Conv-1;Conventional;Leaf;Bacillus;4
Conv-1;Conventional;Leaf;Brevibacterium;0
Conv-1;Conventional;Leaf;Chungangia;1
Conv-1;Conventional;Leaf;Citricoccus;1
Conv-1;Conventional;Leaf;Cytobacillus;5
Conv-1;Conventional;Leaf;Ornithinibacillus;0
Conv-1;Conventional;Leaf;Paenibacillus;0
Conv-1;Conventional;Leaf;Pseudomonas;3
Conv-1;Conventional;Leaf;Staphylococcus;4
Conv-1;Conventional;Leaf;Stenotrophomonas;3
Conv-2;Conventional;Leaf;Aeromonas;0
Conv-2;Conventional;Leaf;Bacillus;4
Conv-2;Conventional;Leaf;Brevibacterium;0
Conv-2;Conventional;Leaf;Chungangia;0
Conv-2;Conventional;Leaf;Citricoccus;0
Conv-2;Conventional;Leaf;Cytobacillus;6
Conv-2;Conventional;Leaf;Ornithinibacillus;0
Conv-2;Conventional;Leaf;Paenibacillus;1
Conv-2;Conventional;Leaf;Pseudomonas;1
Conv-2;Conventional;Leaf;Staphylococcus;2
Conv-2;Conventional;Leaf;Stenotrophomonas;4
Conv-3;Conventional;Leaf;Aeromonas;1
Conv-3;Conventional;Leaf;Bacillus;5
Conv-3;Conventional;Leaf;Brevibacterium;1
Conv-3;Conventional;Leaf;Chungangia;0
Conv-3;Conventional;Leaf;Citricoccus;0
Conv-3;Conventional;Leaf;Cytobacillus;4
Conv-3;Conventional;Leaf;Ornithinibacillus;1
Conv-3;Conventional;Leaf;Paenibacillus;1
Conv-3;Conventional;Leaf;Pseudomonas;1
Conv-3;Conventional;Leaf;Staphylococcus;3
Conv-3;Conventional;Leaf;Stenotrophomonas;4
Conv-1;Conventional;Soil;Acidithiobacillus;1
Conv-1;Conventional;Soil;Agromyces;0
Conv-1;Conventional;Soil;Arthrobacter;2
Conv-1;Conventional;Soil;Bacillus;9
Conv-1;Conventional;Soil;Domibacillus;0
Conv-1;Conventional;Soil;Lysinibacillus;0
Conv-1;Conventional;Soil;Metabacillus;1
Conv-1;Conventional;Soil;Microbacterium;1
Conv-1;Conventional;Soil;Niallia;1
Conv-1;Conventional;Soil;Paenibacillus;2
Conv-1;Conventional;Soil;Peribacillus;4
Conv-1;Conventional;Soil;Priestia;1
Conv-1;Conventional;Soil;Pseudarthrobacter;0
Conv-1;Conventional;Soil;Pseudomonas;1
Conv-1;Conventional;Soil;Sinorhizobium;1
Conv-1;Conventional;Soil;Staphylococcus;1
Conv-1;Conventional;Soil;Streptomyces;1
Conv-1;Conventional;Soil;Terribacillus;1
Conv-2;Conventional;Soil;Acidithiobacillus;0
Conv-2;Conventional;Soil;Agromyces;0
Conv-2;Conventional;Soil;Arthrobacter;2
Conv-2;Conventional;Soil;Bacillus;9
Conv-2;Conventional;Soil;Domibacillus;0
Conv-2;Conventional;Soil;Lysinibacillus;1
Conv-2;Conventional;Soil;Metabacillus;1
Conv-2;Conventional;Soil;Microbacterium;0
Conv-2;Conventional;Soil;Niallia;0
Conv-2;Conventional;Soil;Paenibacillus;1
Conv-2;Conventional;Soil;Peribacillus;7
Conv-2;Conventional;Soil;Priestia;1
Conv-2;Conventional;Soil;Pseudarthrobacter;1
Conv-2;Conventional;Soil;Pseudomonas;1
Conv-2;Conventional;Soil;Sinorhizobium;0
Conv-2;Conventional;Soil;Staphylococcus;1
Conv-2;Conventional;Soil;Streptomyces;3
Conv-2;Conventional;Soil;Terribacillus;1
Conv-3;Conventional;Soil;Acidithiobacillus;0
Conv-3;Conventional;Soil;Agromyces;1
Conv-3;Conventional;Soil;Arthrobacter;1
Conv-3;Conventional;Soil;Bacillus;11
Conv-3;Conventional;Soil;Domibacillus;1
Conv-3;Conventional;Soil;Lysinibacillus;0
Conv-3;Conventional;Soil;Metabacillus;1
Conv-3;Conventional;Soil;Microbacterium;0
Conv-3;Conventional;Soil;Niallia;1
Conv-3;Conventional;Soil;Paenibacillus;2
Conv-3;Conventional;Soil;Peribacillus;2
Conv-3;Conventional;Soil;Priestia;0
Conv-3;Conventional;Soil;Pseudarthrobacter;0
Conv-3;Conventional;Soil;Pseudomonas;0
Conv-3;Conventional;Soil;Sinorhizobium;0
Conv-3;Conventional;Soil;Staphylococcus;0
Conv-3;Conventional;Soil;Streptomyces;1
Conv-3;Conventional;Soil;Terribacillus;0
Wild-1;Wild;Bark;Bacillus;2
Wild-1;Wild;Bark;Curtobacterium;4
Wild-1;Wild;Bark;Cytobacillus;1
Wild-1;Wild;Bark;Erwinia;1
Wild-1;Wild;Bark;Frigoribacterium;0
Wild-1;Wild;Bark;Labedella;0
Wild-1;Wild;Bark;Lysinibacillus;1
Wild-1;Wild;Bark;Paenarthrobacter;1
Wild-1;Wild;Bark;Pantoea;3
Wild-1;Wild;Bark;Pseudomonas;2
Wild-1;Wild;Bark;Sphingomonas;0
Wild-1;Wild;Bark;Stenotrophomonas;2
Wild-2;Wild;Bark;Bacillus;1
Wild-2;Wild;Bark;Curtobacterium;7
Wild-2;Wild;Bark;Cytobacillus;0
Wild-2;Wild;Bark;Erwinia;1
Wild-2;Wild;Bark;Frigoribacterium;1
Wild-2;Wild;Bark;Labedella;0
Wild-2;Wild;Bark;Lysinibacillus;1
Wild-2;Wild;Bark;Paenarthrobacter;0
Wild-2;Wild;Bark;Pantoea;6
Wild-2;Wild;Bark;Pseudomonas;1
Wild-2;Wild;Bark;Sphingomonas;1
Wild-2;Wild;Bark;Stenotrophomonas;2
Wild-3;Wild;Bark;Bacillus;2
Wild-3;Wild;Bark;Curtobacterium;2
Wild-3;Wild;Bark;Cytobacillus;0
Wild-3;Wild;Bark;Erwinia;1
Wild-3;Wild;Bark;Frigoribacterium;0
Wild-3;Wild;Bark;Labedella;1
Wild-3;Wild;Bark;Lysinibacillus;1
Wild-3;Wild;Bark;Paenarthrobacter;0
Wild-3;Wild;Bark;Pantoea;4
Wild-3;Wild;Bark;Pseudomonas;3
Wild-3;Wild;Bark;Sphingomonas;0
Wild-3;Wild;Bark;Stenotrophomonas;1
Wild-1;Wild;Grape;Bacillus;10
Wild-1;Wild;Grape;Curtobacterium;6
Wild-1;Wild;Grape;Micrococcus;1
Wild-1;Wild;Grape;Terribacillus;1
Wild-2;Wild;Grape;Bacillus;10
Wild-2;Wild;Grape;Curtobacterium;3
Wild-2;Wild;Grape;Micrococcus;0
Wild-2;Wild;Grape;Terribacillus;2
Wild-3;Wild;Grape;Bacillus;9
Wild-3;Wild;Grape;Curtobacterium;6
Wild-3;Wild;Grape;Micrococcus;1
Wild-3;Wild;Grape;Terribacillus;1
Wild-1;Wild;Leaf;Bacillus;2
Wild-1;Wild;Leaf;Curtobacterium;0
Wild-1;Wild;Leaf;Cytobacillus;0
Wild-1;Wild;Leaf;Frigoribacterium;2
Wild-1;Wild;Leaf;Pantoea;0
Wild-1;Wild;Leaf;Priestia;1
Wild-1;Wild;Leaf;Pseudomonas;2
Wild-1;Wild;Leaf;Rhizobium;0
Wild-1;Wild;Leaf;Rossellomorea;0
Wild-1;Wild;Leaf;Staphylococcus;1
Wild-1;Wild;Leaf;Stenotrophomonas;3
Wild-1;Wild;Leaf;Tsukamurella;0
Wild-2;Wild;Leaf;Bacillus;2
Wild-2;Wild;Leaf;Curtobacterium;0
Wild-2;Wild;Leaf;Cytobacillus;1
Wild-2;Wild;Leaf;Frigoribacterium;1
Wild-2;Wild;Leaf;Pantoea;1
Wild-2;Wild;Leaf;Priestia;0
Wild-2;Wild;Leaf;Pseudomonas;4
Wild-2;Wild;Leaf;Rhizobium;1
Wild-2;Wild;Leaf;Rossellomorea;0
Wild-2;Wild;Leaf;Staphylococcus;0
Wild-2;Wild;Leaf;Stenotrophomonas;3
Wild-2;Wild;Leaf;Tsukamurella;0
Wild-3;Wild;Leaf;Bacillus;2
Wild-3;Wild;Leaf;Curtobacterium;1
Wild-3;Wild;Leaf;Cytobacillus;0
Wild-3;Wild;Leaf;Frigoribacterium;1
Wild-3;Wild;Leaf;Pantoea;1
Wild-3;Wild;Leaf;Priestia;0
Wild-3;Wild;Leaf;Pseudomonas;4
Wild-3;Wild;Leaf;Rhizobium;0
Wild-3;Wild;Leaf;Rossellomorea;1
Wild-3;Wild;Leaf;Staphylococcus;0
Wild-3;Wild;Leaf;Stenotrophomonas;3
Wild-3;Wild;Leaf;Tsukamurella;1
Wild-1;Wild;Soil;Agrobacterium;1
Wild-1;Wild;Soil;Agromyces;0
Wild-1;Wild;Soil;Alkalicoccobacillus;1
Wild-1;Wild;Soil;Arthrobacter;0
Wild-1;Wild;Soil;Bacillus;0
Wild-1;Wild;Soil;Isoptericola;1
Wild-1;Wild;Soil;Lysinibacillus;1
Wild-1;Wild;Soil;Mesobacillus;0
Wild-1;Wild;Soil;Metabacillus;1
Wild-1;Wild;Soil;Methylobacterium;0
Wild-1;Wild;Soil;Microbacterium;2
Wild-1;Wild;Soil;Microterricola;0
Wild-1;Wild;Soil;Paenibacillus;1
Wild-1;Wild;Soil;Peribacillus;2
Wild-1;Wild;Soil;Priestia;1
Wild-1;Wild;Soil;Promicromonospora;0
Wild-1;Wild;Soil;Pseudomonas;1
Wild-1;Wild;Soil;Psychrobacillus;1
Wild-1;Wild;Soil;Rhizobium;0
Wild-1;Wild;Soil;Rhodococcus;1
Wild-1;Wild;Soil;Sphingobacterium;0
Wild-1;Wild;Soil;Stenotrophomonas;1
Wild-1;Wild;Soil;Streptomyces;0
Wild-2;Wild;Soil;Agrobacterium;0
Wild-2;Wild;Soil;Agromyces;0
Wild-2;Wild;Soil;Alkalicoccobacillus;1
Wild-2;Wild;Soil;Arthrobacter;1
Wild-2;Wild;Soil;Bacillus;0
Wild-2;Wild;Soil;Isoptericola;1
Wild-2;Wild;Soil;Lysinibacillus;0
Wild-2;Wild;Soil;Mesobacillus;0
Wild-2;Wild;Soil;Metabacillus;0
Wild-2;Wild;Soil;Methylobacterium;1
Wild-2;Wild;Soil;Microbacterium;2
Wild-2;Wild;Soil;Microterricola;1
Wild-2;Wild;Soil;Paenibacillus;0
Wild-2;Wild;Soil;Peribacillus;1
Wild-2;Wild;Soil;Priestia;0
Wild-2;Wild;Soil;Promicromonospora;1
Wild-2;Wild;Soil;Pseudomonas;1
Wild-2;Wild;Soil;Psychrobacillus;1
Wild-2;Wild;Soil;Rhizobium;1
Wild-2;Wild;Soil;Rhodococcus;2
Wild-2;Wild;Soil;Sphingobacterium;1
Wild-2;Wild;Soil;Stenotrophomonas;0
Wild-2;Wild;Soil;Streptomyces;0
Wild-3;Wild;Soil;Agrobacterium;0
Wild-3;Wild;Soil;Agromyces;1
Wild-3;Wild;Soil;Alkalicoccobacillus;0
Wild-3;Wild;Soil;Arthrobacter;0
Wild-3;Wild;Soil;Bacillus;1
Wild-3;Wild;Soil;Isoptericola;0
Wild-3;Wild;Soil;Lysinibacillus;1
Wild-3;Wild;Soil;Mesobacillus;1
Wild-3;Wild;Soil;Metabacillus;0
Wild-3;Wild;Soil;Methylobacterium;0
Wild-3;Wild;Soil;Microbacterium;1
Wild-3;Wild;Soil;Microterricola;0
Wild-3;Wild;Soil;Paenibacillus;0
Wild-3;Wild;Soil;Peribacillus;3
Wild-3;Wild;Soil;Priestia;0
Wild-3;Wild;Soil;Promicromonospora;1
Wild-3;Wild;Soil;Pseudomonas;0
Wild-3;Wild;Soil;Psychrobacillus;0
Wild-3;Wild;Soil;Rhizobium;1
Wild-3;Wild;Soil;Rhodococcus;1
Wild-3;Wild;Soil;Sphingobacterium;0
Wild-3;Wild;Soil;Stenotrophomonas;0
Wild-3;Wild;Soil;Streptomyces;1
