Sample;Treatment;Organ Material;Genera;Relative Abundance
Conv-1;Conventional;Bark;Alternaria;1,639344262
Conv-1;Conventional;Bark;Aspergillus;1,639344262
Conv-1;Conventional;Bark;Aureobasidium;0
Conv-1;Conventional;Bark;Cladosporium;11,47540984
Conv-1;Conventional;Bark;Fonsecaea;1,639344262
Conv-1;Conventional;Bark;Sclerostagonospora;0
Conv-1;Conventional;Grape;Alternaria;0
Conv-1;Conventional;Grape;Apiospora;1,639344262
Conv-1;Conventional;Grape;Aspergillus;4,918032787
Conv-1;Conventional;Grape;Cladosporium;16,39344262
Conv-1;Conventional;Grape;Penicillium;3,278688525
Conv-1;Conventional;Grape;Preussia;0
Conv-1;Conventional;Grape;Sarocladium;1,639344262
Conv-1;Conventional;Leaf;Actinomucor;1,639344262
Conv-1;Conventional;Leaf;Alternaria;1,639344262
Conv-1;Conventional;Leaf;Aspergillus;1,639344262
Conv-1;Conventional;Leaf;Aureobasidium;4,918032787
Conv-1;Conventional;Leaf;Cladosporium;18,03278689
Conv-1;Conventional;Leaf;Fusarium;1,639344262
Conv-1;Conventional;Leaf;Penicillium;4,918032787
Conv-1;Conventional;Leaf;Pseudopithomyces;0
Conv-1;Conventional;Leaf;Sclerostagonospora;1,639344262
Conv-1;Conventional;Leaf;Stemphylium;0
Conv-1;Conventional;Leaf;Tamaricicola;1,639344262
Conv-1;Conventional;Leaf;Xylona;0
Conv-1;Conventional;Leaf;Zalaria;0
Conv-1;Conventional;Soil;Actinomucor;0
Conv-1;Conventional;Soil;Alternaria;0
Conv-1;Conventional;Soil;Aspergillus;4,918032787
Conv-1;Conventional;Soil;Cephalotrichum;0
Conv-1;Conventional;Soil;Cladosporium;3,278688525
Conv-1;Conventional;Soil;Fusarium;3,278688525
Conv-1;Conventional;Soil;Mortierella;1,639344262
Conv-1;Conventional;Soil;Penicillium;3,278688525
Conv-1;Conventional;Soil;Trichoderma;1,639344262
Conv-2;Conventional;Bark;Alternaria;0
Conv-2;Conventional;Bark;Aspergillus;1,694915254
Conv-2;Conventional;Bark;Aureobasidium;1,694915254
Conv-2;Conventional;Bark;Cladosporium;10,16949153
Conv-2;Conventional;Bark;Fonsecaea;0
Conv-2;Conventional;Bark;Sclerostagonospora;0
Conv-2;Conventional;Grape;Alternaria;1,694915254
Conv-2;Conventional;Grape;Apiospora;1,694915254
Conv-2;Conventional;Grape;Aspergillus;1,694915254
Conv-2;Conventional;Grape;Cladosporium;15,25423729
Conv-2;Conventional;Grape;Penicillium;3,389830508
Conv-2;Conventional;Grape;Preussia;0
Conv-2;Conventional;Grape;Sarocladium;0
Conv-2;Conventional;Leaf;Actinomucor;0
Conv-2;Conventional;Leaf;Alternaria;5,084745763
Conv-2;Conventional;Leaf;Aspergillus;0
Conv-2;Conventional;Leaf;Aureobasidium;3,389830508
Conv-2;Conventional;Leaf;Cladosporium;20,33898305
Conv-2;Conventional;Leaf;Fusarium;1,694915254
Conv-2;Conventional;Leaf;Penicillium;6,779661017
Conv-2;Conventional;Leaf;Pseudopithomyces;0
Conv-2;Conventional;Leaf;Sclerostagonospora;0
Conv-2;Conventional;Leaf;Stemphylium;1,694915254
Conv-2;Conventional;Leaf;Tamaricicola;0
Conv-2;Conventional;Leaf;Xylona;0
Conv-2;Conventional;Leaf;Zalaria;0
Conv-2;Conventional;Soil;Actinomucor;1,694915254
Conv-2;Conventional;Soil;Alternaria;0
Conv-2;Conventional;Soil;Aspergillus;10,16949153
Conv-2;Conventional;Soil;Cephalotrichum;1,694915254
Conv-2;Conventional;Soil;Cladosporium;6,779661017
Conv-2;Conventional;Soil;Fusarium;1,694915254
Conv-2;Conventional;Soil;Mortierella;0
Conv-2;Conventional;Soil;Penicillium;1,694915254
Conv-2;Conventional;Soil;Trichoderma;0
Conv-3;Conventional;Bark;Alternaria;1,587301587
Conv-3;Conventional;Bark;Aspergillus;0
Conv-3;Conventional;Bark;Aureobasidium;0
Conv-3;Conventional;Bark;Cladosporium;12,6984127
Conv-3;Conventional;Bark;Fonsecaea;0
Conv-3;Conventional;Bark;Sclerostagonospora;1,587301587
Conv-3;Conventional;Grape;Alternaria;0
Conv-3;Conventional;Grape;Apiospora;0
Conv-3;Conventional;Grape;Aspergillus;1,587301587
Conv-3;Conventional;Grape;Cladosporium;20,63492063
Conv-3;Conventional;Grape;Penicillium;3,174603175
Conv-3;Conventional;Grape;Preussia;1,587301587
Conv-3;Conventional;Grape;Sarocladium;1,587301587
Conv-3;Conventional;Leaf;Actinomucor;0
Conv-3;Conventional;Leaf;Alternaria;1,587301587
Conv-3;Conventional;Leaf;Aspergillus;1,587301587
Conv-3;Conventional;Leaf;Aureobasidium;1,587301587
Conv-3;Conventional;Leaf;Cladosporium;23,80952381
Conv-3;Conventional;Leaf;Fusarium;1,587301587
Conv-3;Conventional;Leaf;Penicillium;3,174603175
Conv-3;Conventional;Leaf;Pseudopithomyces;1,587301587
Conv-3;Conventional;Leaf;Sclerostagonospora;0
Conv-3;Conventional;Leaf;Stemphylium;0
Conv-3;Conventional;Leaf;Tamaricicola;0
Conv-3;Conventional;Leaf;Xylona;1,587301587
Conv-3;Conventional;Leaf;Zalaria;1,587301587
Conv-3;Conventional;Soil;Actinomucor;0
Conv-3;Conventional;Soil;Alternaria;1,587301587
Conv-3;Conventional;Soil;Aspergillus;9,523809524
Conv-3;Conventional;Soil;Cephalotrichum;0
Conv-3;Conventional;Soil;Cladosporium;1,587301587
Conv-3;Conventional;Soil;Fusarium;0
Conv-3;Conventional;Soil;Mortierella;0
Conv-3;Conventional;Soil;Penicillium;4,761904762
Conv-3;Conventional;Soil;Trichoderma;0
Org-1;Organic;Bark;Aspergillus;0
Org-1;Organic;Bark;Cladosporium;12,90322581
Org-1;Organic;Bark;Exophiala;1,075268817
Org-1;Organic;Bark;Hypomyces;1,075268817
Org-1;Organic;Bark;Penicillium;1,075268817
Org-1;Organic;Bark;Ramularia;0
Org-1;Organic;Grape;Acremoniom;1,075268817
Org-1;Organic;Grape;Actinomucor;0
Org-1;Organic;Grape;Alternaria;2,150537634
Org-1;Organic;Grape;Aspergillus;1,075268817
Org-1;Organic;Grape;Aureobasidium;0
Org-1;Organic;Grape;Cladosporium;26,88172043
Org-1;Organic;Grape;Exophiala;0
Org-1;Organic;Grape;Mucor;0
Org-1;Organic;Grape;Penicillium;1,075268817
Org-1;Organic;Grape;Sarocladium;0
Org-1;Organic;Grape;Stemphylium;1,075268817
Org-1;Organic;Grape;Zalaria;0
Org-1;Organic;Leaf;Alternaria;1,075268817
Org-1;Organic;Leaf;Aspergillus;1,075268817
Org-1;Organic;Leaf;Aureobasidium;2,150537634
Org-1;Organic;Leaf;Botrytis;1,075268817
Org-1;Organic;Leaf;Cladosporium;18,27956989
Org-1;Organic;Leaf;Coniothyrium;0
Org-1;Organic;Leaf;Exophiala;2,150537634
Org-1;Organic;Leaf;Penicillium;1,075268817
Org-1;Organic;Leaf;Pseudocamarosporium;0
Org-1;Organic;Leaf;Purpureocillium;1,075268817
Org-1;Organic;Leaf;Sclerostagonospora;2,150537634
Org-1;Organic;Soil;Aspergillus;4,301075269
Org-1;Organic;Soil;Cladosporium;4,301075269
Org-1;Organic;Soil;Fusarium;1,075268817
Org-1;Organic;Soil;Penicillium;5,376344086
Org-1;Organic;Soil;Rhizopus;1,075268817
Org-1;Organic;Soil;Stachybotrys;1,075268817
Org-1;Organic;Soil;Talaromyces;0
Org-1;Organic;Soil;Alternaria;1,075268817
Org-1;Organic;Soil;Chaetomium;0
Org-1;Organic;Soil;Exophiala;1,075268817
Org-1;Organic;Soil;Parachaetomium;1,075268817
Org-2;Organic;Bark;Aspergillus;1,204819277
Org-2;Organic;Bark;Cladosporium;9,638554217
Org-2;Organic;Bark;Exophiala;0
Org-2;Organic;Bark;Hypomyces;0
Org-2;Organic;Bark;Penicillium;2,409638554
Org-2;Organic;Bark;Ramularia;0
Org-2;Organic;Grape;Acremoniom;0
Org-2;Organic;Grape;Actinomucor;1,204819277
Org-2;Organic;Grape;Alternaria;2,409638554
Org-2;Organic;Grape;Aspergillus;2,409638554
Org-2;Organic;Grape;Aureobasidium;1,204819277
Org-2;Organic;Grape;Cladosporium;18,07228916
Org-2;Organic;Grape;Exophiala;1,204819277
Org-2;Organic;Grape;Mucor;0
Org-2;Organic;Grape;Penicillium;0
Org-2;Organic;Grape;Sarocladium;1,204819277
Org-2;Organic;Grape;Stemphylium;1,204819277
Org-2;Organic;Grape;Zalaria;0
Org-2;Organic;Leaf;Alternaria;2,409638554
Org-2;Organic;Leaf;Aspergillus;0
Org-2;Organic;Leaf;Aureobasidium;1,204819277
Org-2;Organic;Leaf;Botrytis;1,204819277
Org-2;Organic;Leaf;Cladosporium;24,09638554
Org-2;Organic;Leaf;Coniothyrium;0
Org-2;Organic;Leaf;Exophiala;1,204819277
Org-2;Organic;Leaf;Penicillium;0
Org-2;Organic;Leaf;Pseudocamarosporium;0
Org-2;Organic;Leaf;Purpureocillium;0
Org-2;Organic;Leaf;Sclerostagonospora;0
Org-2;Organic;Soil;Aspergillus;7,228915663
Org-2;Organic;Soil;Cladosporium;3,614457831
Org-2;Organic;Soil;Fusarium;3,614457831
Org-2;Organic;Soil;Penicillium;8,43373494
Org-2;Organic;Soil;Rhizopus;2,409638554
Org-2;Organic;Soil;Stachybotrys;0
Org-2;Organic;Soil;Talaromyces;0
Org-2;Organic;Soil;Alternaria;1,204819277
Org-2;Organic;Soil;Chaetomium;1,204819277
Org-2;Organic;Soil;Exophiala;0
Org-2;Organic;Soil;Parachaetomium;0
Org-3;Organic;Bark;Aspergillus;0
Org-3;Organic;Bark;Cladosporium;4,47761194
Org-3;Organic;Bark;Exophiala;0
Org-3;Organic;Bark;Hypomyces;0
Org-3;Organic;Bark;Penicillium;0
Org-3;Organic;Bark;Ramularia;1,492537313
Org-3;Organic;Grape;Acremoniom;0
Org-3;Organic;Grape;Actinomucor;0
Org-3;Organic;Grape;Alternaria;4,47761194
Org-3;Organic;Grape;Aspergillus;0
Org-3;Organic;Grape;Aureobasidium;0
Org-3;Organic;Grape;Cladosporium;38,80597015
Org-3;Organic;Grape;Exophiala;0
Org-3;Organic;Grape;Mucor;1,492537313
Org-3;Organic;Grape;Penicillium;0
Org-3;Organic;Grape;Sarocladium;0
Org-3;Organic;Grape;Stemphylium;0
Org-3;Organic;Grape;Zalaria;1,492537313
Org-3;Organic;Leaf;Alternaria;1,492537313
Org-3;Organic;Leaf;Aspergillus;0
Org-3;Organic;Leaf;Aureobasidium;2,985074627
Org-3;Organic;Leaf;Botrytis;1,492537313
Org-3;Organic;Leaf;Cladosporium;14,92537313
Org-3;Organic;Leaf;Coniothyrium;1,492537313
Org-3;Organic;Leaf;Exophiala;0
Org-3;Organic;Leaf;Penicillium;0
Org-3;Organic;Leaf;Pseudocamarosporium;1,492537313
Org-3;Organic;Leaf;Purpureocillium;0
Org-3;Organic;Leaf;Sclerostagonospora;0
Org-3;Organic;Soil;Aspergillus;8,955223881
Org-3;Organic;Soil;Cladosporium;2,985074627
Org-3;Organic;Soil;Fusarium;2,985074627
Org-3;Organic;Soil;Penicillium;5,970149254
Org-3;Organic;Soil;Rhizopus;1,492537313
Org-3;Organic;Soil;Stachybotrys;0
Org-3;Organic;Soil;Talaromyces;1,492537313
Org-3;Organic;Soil;Alternaria;0
Org-3;Organic;Soil;Chaetomium;0
Org-3;Organic;Soil;Exophiala;0
Org-3;Organic;Soil;Parachaetomium;0
Wild-1;Wild;Bark;Acericola;0
Wild-1;Wild;Bark;Alternaria;5,714285714
Wild-1;Wild;Bark;Aspergillus;1,428571429
Wild-1;Wild;Bark;Aureobasidium;0
Wild-1;Wild;Bark;Chaetomium;0
Wild-1;Wild;Bark;Cladosporium;34,28571429
Wild-1;Wild;Bark;Didymella;0
Wild-1;Wild;Bark;Ectophoma;0
Wild-1;Wild;Bark;Fusarium;1,428571429
Wild-1;Wild;Bark;Neocucurbitaria;1,428571429
Wild-1;Wild;Bark;Neocucurbitaria;0
Wild-1;Wild;Bark;Neosetophoma;1,428571429
Wild-1;Wild;Bark;Nothophoma;4,285714286
Wild-1;Wild;Bark;Penicillium;2,857142857
Wild-1;Wild;Bark;Stemphylium;0
Wild-1;Wild;Grape;Aureobasidium;1,428571429
Wild-1;Wild;Grape;Cladosporium;10
Wild-1;Wild;Grape;Colletotrichum;0
Wild-1;Wild;Grape;Fusarium;2,857142857
Wild-1;Wild;Grape;Neophaeomoniella;0
Wild-1;Wild;Leaf;Cladosporium;15,71428571
Wild-1;Wild;Leaf;Cytospora;1,428571429
Wild-1;Wild;Leaf;Nothophoma;0
Wild-1;Wild;Leaf;Penicillium;0
Wild-1;Wild;Soil;Alternaria;0
Wild-1;Wild;Soil;Aspergillus;2,857142857
Wild-1;Wild;Soil;Boeremia;2,857142857
Wild-1;Wild;Soil;Cladosporium;2,857142857
Wild-1;Wild;Soil;Didymella;0
Wild-1;Wild;Soil;Ectophoma;0
Wild-1;Wild;Soil;Gibellulopsis;0
Wild-1;Wild;Soil;Gliomastix;0
Wild-1;Wild;Soil;Microascus;1,428571429
Wild-1;Wild;Soil;Myriodontium;0
Wild-1;Wild;Soil;Neoeutypella;0
Wild-1;Wild;Soil;Neopyrenochaeta;1,428571429
Wild-1;Wild;Soil;Paraconiothyrium;1,428571429
Wild-1;Wild;Soil;Penicillium;2,857142857
Wild-1;Wild;Soil;Purpureocillium;0
Wild-1;Wild;Soil;Trichosporiella;0
Wild-2;Wild;Bark;Acericola;1,449275362
Wild-2;Wild;Bark;Alternaria;2,898550725
Wild-2;Wild;Bark;Aspergillus;0
Wild-2;Wild;Bark;Aureobasidium;2,898550725
Wild-2;Wild;Bark;Chaetomium;0
Wild-2;Wild;Bark;Cladosporium;37,68115942
Wild-2;Wild;Bark;Didymella;0
Wild-2;Wild;Bark;Ectophoma;1,449275362
Wild-2;Wild;Bark;Fusarium;0
Wild-2;Wild;Bark;Neocucurbitaria;0
Wild-2;Wild;Bark;Neosetophoma;0
Wild-2;Wild;Bark;Nothophoma;2,898550725
Wild-2;Wild;Bark;Nothophoma;4,347826087
Wild-2;Wild;Bark;Penicillium;0
Wild-2;Wild;Bark;Stemphylium;1,449275362
Wild-2;Wild;Grape;Aureobasidium;0
Wild-2;Wild;Grape;Cladosporium;7,246376812
Wild-2;Wild;Grape;Colletotrichum;1,449275362
Wild-2;Wild;Grape;Fusarium;0
Wild-2;Wild;Grape;Neophaeomoniella;1,449275362
Wild-2;Wild;Leaf;Cladosporium;11,5942029
Wild-2;Wild;Leaf;Cytospora;0
Wild-2;Wild;Leaf;Nothophoma;1,449275362
Wild-2;Wild;Leaf;Penicillium;0
Wild-2;Wild;Soil;Alternaria;0
Wild-2;Wild;Soil;Aspergillus;2,898550725
Wild-2;Wild;Soil;Boeremia;4,347826087
Wild-2;Wild;Soil;Cladosporium;1,449275362
Wild-2;Wild;Soil;Didymella;0
Wild-2;Wild;Soil;Ectophoma;1,449275362
Wild-2;Wild;Soil;Gibellulopsis;1,449275362
Wild-2;Wild;Soil;Gliomastix;0
Wild-2;Wild;Soil;Microascus;0
Wild-2;Wild;Soil;Myriodontium;1,449275362
Wild-2;Wild;Soil;Neoeutypella;0
Wild-2;Wild;Soil;Neopyrenochaeta;1,449275362
Wild-2;Wild;Soil;Paraconiothyrium;0
Wild-2;Wild;Soil;Penicillium;5,797101449
Wild-2;Wild;Soil;Purpureocillium;1,449275362
Wild-2;Wild;Soil;Trichosporiella;0
Wild-3;Wild;Bark;Acericola;0
Wild-3;Wild;Bark;Alternaria;1,612903226
Wild-3;Wild;Bark;Aspergillus;0
Wild-3;Wild;Bark;Aureobasidium;0
Wild-3;Wild;Bark;Chaetomium;1,612903226
Wild-3;Wild;Bark;Cladosporium;46,77419355
Wild-3;Wild;Bark;Didymella;1,612903226
Wild-3;Wild;Bark;Ectophoma;0
Wild-3;Wild;Bark;Fusarium;0
Wild-3;Wild;Bark;Neosetophoma;0
Wild-3;Wild;Bark;Penicillium;3,225806452
Wild-3;Wild;Bark;Stemphylium;0
Wild-3;Wild;Grape;Aureobasidium;1,612903226
Wild-3;Wild;Grape;Cladosporium;9,677419355
Wild-3;Wild;Grape;Colletotrichum;0
Wild-3;Wild;Grape;Fusarium;0
Wild-3;Wild;Grape;Neophaeomoniella;0
Wild-3;Wild;Leaf;Cladosporium;6,451612903
Wild-3;Wild;Leaf;Cytospora;0
Wild-3;Wild;Leaf;Nothophoma;0
Wild-3;Wild;Leaf;Penicillium;1,612903226
Wild-3;Wild;Soil;Alternaria;1,612903226
Wild-3;Wild;Soil;Aspergillus;3,225806452
Wild-3;Wild;Soil;Boeremia;1,612903226
Wild-3;Wild;Soil;Cladosporium;3,225806452
Wild-3;Wild;Soil;Didymella;1,612903226
Wild-3;Wild;Soil;Ectophoma;1,612903226
Wild-3;Wild;Soil;Gibellulopsis;0
Wild-3;Wild;Soil;Gliomastix;1,612903226
Wild-3;Wild;Soil;Microascus;0
Wild-3;Wild;Soil;Myriodontium;0
Wild-3;Wild;Soil;Neoeutypella;1,612903226
Wild-3;Wild;Soil;Neopyrenochaeta;0
Wild-3;Wild;Soil;Paraconiothyrium;1,612903226
Wild-3;Wild;Soil;Penicillium;6,451612903
Wild-3;Wild;Soil;Purpureocillium;0
Wild-3;Wild;Soil;Trichosporiella;1,612903226
